match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2022-0050,2022,2022-12-04,Round of 16,England,Senegal,Home,Jordan Henderson,39,39,False,1
2022-0050,2022,2022-12-04,Round of 16,England,Senegal,Home,Harry Kane,45+3,48,True,2
2022-0050,2022,2022-12-04,Round of 16,England,Senegal,Home,Bukayo Saka,57,57,False,3
2022-0051,2022,2022-12-03,Round of 16,Netherlands,United States,Home,Memphis,10,10,False,1
2022-0051,2022,2022-12-03,Round of 16,Netherlands,United States,Home,Daley Blind,45+1,46,True,2
2022-0051,2022,2022-12-03,Round of 16,Netherlands,United States,Home,Denzel Dumfries,81,81,False,3
2022-0051,2022,2022-12-03,Round of 16,United States,Netherlands,Away,Haji Wright,76,76,False,1
2022-0052,2022,2022-12-03,Round of 16,Argentina,Australia,Home,Lionel Messi,35,35,False,1
2022-0052,2022,2022-12-03,Round of 16,Argentina,Australia,Home,Julián Álvarez,57,57,False,2
2022-0053,2022,2022-12-02,Group stage,Korea Republic,Portugal,Home,Kim Young-gwon,27,27,False,1
2022-0053,2022,2022-12-02,Group stage,Korea Republic,Portugal,Home,Hwang Hee-chan,90+1,91,True,2
2022-0053,2022,2022-12-02,Group stage,Portugal,Korea Republic,Away,Ricardo Horta,5,5,False,1
2022-0054,2022,2022-12-02,Group stage,Uruguay,Ghana,Away,Giorgian De Arrascaeta,26,26,False,1
2022-0054,2022,2022-12-02,Group stage,Uruguay,Ghana,Away,Giorgian De Arrascaeta,32,32,False,2
2022-0055,2022,2022-12-02,Group stage,Cameroon,Brazil,Home,Vincent Aboubakar,90+2,92,True,1
2022-0056,2022,2022-12-02,Group stage,Serbia,Switzerland,Home,Aleksandar Mitrovic,26,26,False,1
2022-0056,2022,2022-12-02,Group stage,Serbia,Switzerland,Home,Dušan Vlahovi,35,35,False,2
2022-0056,2022,2022-12-02,Group stage,Switzerland,Serbia,Away,Xherdan Shaqiri,20,20,False,1
2022-0056,2022,2022-12-02,Group stage,Switzerland,Serbia,Away,Breel Embolo,44,44,False,2
2022-0056,2022,2022-12-02,Group stage,Switzerland,Serbia,Away,Remo Freuler,48,48,False,3
2022-0057,2022,2022-12-01,Group stage,Morocco,Canada,Away,Hakim Ziyech,4,4,False,1
2022-0057,2022,2022-12-01,Group stage,Morocco,Canada,Away,Youssef En-Nesyri,23,23,False,2
2022-0059,2022,2022-12-01,Group stage,Costa Rica,Germany,Home,Yeltsin Tejeda,58,58,False,1
2022-0059,2022,2022-12-01,Group stage,Germany,Costa Rica,Away,Serge Gnabry,10,10,False,1
2022-0059,2022,2022-12-01,Group stage,Germany,Costa Rica,Away,Kai Havertz,73,73,False,2
2022-0059,2022,2022-12-01,Group stage,Germany,Costa Rica,Away,Kai Havertz,85,85,False,3
2022-0059,2022,2022-12-01,Group stage,Germany,Costa Rica,Away,Niclas Füllkrug,90,90,False,4
2022-0060,2022,2022-12-01,Group stage,Japan,Spain,Home,Ritsu Doan,48,48,False,1
2022-0060,2022,2022-12-01,Group stage,Japan,Spain,Home,Ao Tanaka,51,51,False,2
2022-0060,2022,2022-12-01,Group stage,Spain,Japan,Away,Álvaro Morata,12,12,False,1
2022-0061,2022,2022-11-30,Group stage,Australia,Denmark,Home,Mathew Leckie,60,60,False,1
2022-0062,2022,2022-11-30,Group stage,Tunisia,France,Home,Wahbi Khazri,58,58,False,1
2010-0063,2010,2010-06-20,Group stage,Paraguay,Slovakia,Away,Enrique Vera,27,27,False,1
2010-0063,2010,2010-06-20,Group stage,Paraguay,Slovakia,Away,Cristian Riveros,86,86,False,2
2022-0064,2022,2022-11-30,Group stage,Saudi Arabia,Mexico,Home,Salem Al-Dawsari,90+5,95,True,1
2022-0064,2022,2022-11-30,Group stage,Mexico,Saudi Arabia,Away,Henry Martín,47,47,False,1
2022-0064,2022,2022-11-30,Group stage,Mexico,Saudi Arabia,Away,Luis Chávez,52,52,False,2
2022-0065,2022,2022-11-30,Group stage,Argentina,Poland,Away,Alexis Mac Allister,46,46,False,1
2022-0065,2022,2022-11-30,Group stage,Argentina,Poland,Away,Julián Álvarez,67,67,False,2
2022-0066,2022,2022-11-29,Group stage,Ecuador,Senegal,Home,Moisés Caicedo,67,67,False,1
2022-0066,2022,2022-11-29,Group stage,Senegal,Ecuador,Away,Kalidou Koulibaly,70,70,False,1
2022-0066,2022,2022-11-29,Group stage,Senegal,Ecuador,Away,Ismaila Sarr,44,44,False,2
2022-0067,2022,2022-11-29,Group stage,Netherlands,Qatar,Home,Cody Gakpo,26,26,False,1
2022-0067,2022,2022-11-29,Group stage,Netherlands,Qatar,Home,Frenkie de Jong,49,49,False,2
2022-0068,2022,2022-11-29,Group stage,United States,IR Iran,Away,Christian Pulisic,38,38,False,1
2022-0069,2022,2022-11-29,Group stage,England,Wales,Away,Marcus Rashford,50,50,False,1
2022-0069,2022,2022-11-29,Group stage,England,Wales,Away,Phil Foden,52,52,False,2
