home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Italy,Chile,2,0,0,0,27199,"Roker Park Ground, Sunderland",Group stage,1966-07-13,England,1966,"Sandro Mazzola@8,Paolo Barison@88",,0,0,1966-0750,2,2-0,2,False,Group,1960s,Roker Park Ground,Sunderland,Italy,Home win
Portugal,Hungary,3,0,1,0,29886,"Old Trafford Stadium, Manchester",Group stage,1966-07-13,England,1966,"José Augusto de Almeida@2,José Augusto de Almeida@67,José Augusto Torres@90",Ferenc Bene@60,0,0,1966-0751,4,3-1,2,False,Group,1960s,Old Trafford Stadium,Manchester,Portugal,Home win
Brazil,Bulgaria,2,0,0,0,47308,"Goodison Park, Liverpool",Group stage,1966-07-12,England,1966,"Pelé@15,Garrincha@63",,0,0,1966-0752,2,2-0,2,False,Group,1960s,Goodison Park,Liverpool,Brazil,Home win
Soviet Union,Korea DPR,3,0,0,0,23006,"Ayresome Park, Middlesbrough",Group stage,1966-07-12,England,1966,"Eduard Malofeyev@31,Anatoliy Banishevskiy@33,Eduard Malofeyev@88",,0,0,1966-0753,3,3-0,3,False,Group,1960s,Ayresome Park,Middlesbrough,Soviet Union,Home win
West Germany,Switzerland,5,0,0,0,36127,"Hillsborough, Sheffield",Group stage,1966-07-12,England,1966,"Sigfried Held@15,Helmut Haller@20,Franz Beckenbauer@39,Franz Beckenbauer@52,Helmut Haller@77",,0,0,1966-0754,5,5-0,5,False,Group,1960s,Hillsborough,Sheffield,West Germany,Home win
England,Uruguay,0,0,0,0,87148,"Wembley Stadium, London",Group stage,1966-07-11,England,1966,,,0,0,1966-0755,0,0-0,0,False,Group,1960s,Wembley Stadium,London,Draw,Draw
England,Egypt,1,0,0,0,34959,"Sant Elia, Cagliari",Group stage,1990-06-21,Italy,1990,Mark Wright@58,,0,0,1990-0756,1,1-0,1,False,Group,1990s,Sant Elia,Cagliari,England,Home win
Sweden,Costa Rica,1,0,2,0,30223,"Luigi Ferraris, Genoa",Group stage,1990-06-20,Italy,1990,Johnny Ekström@32,"Róger Flores@75,Hernán Medford@87",0,0,1990-0757,3,1-2,1,False,Group,1990s,Luigi Ferraris,Genoa,Costa Rica,Away win
Brazil,Scotland,1,0,0,0,62502,"Stadio delle Alpi, Turin",Group stage,1990-06-20,Italy,1990,Müller@81,,0,0,1990-0758,1,1-0,1,False,Group,1990s,Stadio delle Alpi,Turin,Brazil,Home win
West Germany,Colombia,1,0,1,0,72510,"Giuseppe Meazza, Milan",Group stage,1990-06-19,Italy,1990,Pierre Littbarski@88,Freddy Rincón@90,0,0,1990-0759,2,1-1,0,False,Group,1990s,Giuseppe Meazza,Milan,Draw,Draw
Brazil,Czechoslovakia,3,0,1,0,68679,"Nacional, Santiago De Chile",Final,1962-06-17,Chile,1962,"Amarildo Tavares da Silveira@17,Zito@69,Vavá@78",Josef Masopust@15,0,0,1962-0760,4,3-1,2,False,Final,1960s,Nacional,Santiago De Chile,Brazil,Home win
Chile,Yugoslavia,1,0,0,0,66697,"Nacional, Santiago De Chile",Third-place match,1962-06-16,Chile,1962,Eladio Rojas@90,,0,0,1962-0761,1,1-0,1,False,Placement,1960s,Nacional,Santiago De Chile,Chile,Home win
Brazil,Chile,4,0,2,0,76594,"Nacional, Santiago De Chile",Semi-finals,1962-06-13,Chile,1962,"Garrincha@9,Garrincha@32,Vavá@47,Vavá@78","Jorge Toro@42,Leonel Sánchez@61",0,0,1962-0762,6,4-2,2,False,Knockout,1960s,Nacional,Santiago De Chile,Brazil,Home win
Yugoslavia,United Arab Emirates,4,0,1,0,27833,"Renato Dall Ara, Bologna",Group stage,1990-06-19,Italy,1990,"Safet Suši@5,Darko Panev@9,Darko Panev@46,Robert Prosinecki@90",Ali Thani Jumaa@22,0,0,1990-0763,5,4-1,3,False,Group,1990s,Renato Dall Ara,Bologna,Yugoslavia,Home win
Czechoslovakia,Yugoslavia,3,0,1,0,5890,"Estadio Sausalito, Vina Del Mar",Semi-finals,1962-06-13,Chile,1962,"Josef Kadraba@48,Adolf Scherer@80,Adolf Scherer@84",Dražan Jerkovi@69,0,0,1962-0764,4,3-1,2,False,Knockout,1960s,Estadio Sausalito,Vina Del Mar,Czechoslovakia,Home win
Austria,United States,2,0,1,0,34857,"Comunale, Florence",Group stage,1990-06-19,Italy,1990,"Andreas Ogris@49,Gerhard Rodax@63",Bruce Murray@83,0,0,1990-0765,3,2-1,1,False,Group,1990s,Comunale,Florence,Austria,Home win
Chile,Soviet Union,2,0,1,0,17268,"Carlos Dittborn, Arica",Quarter-finals,1962-06-10,Chile,1962,"Leonel Sánchez@11,Eladio Rojas@29",Igor Chislenko@26,0,0,1962-0766,3,2-1,1,False,Knockout,1960s,Carlos Dittborn,Arica,Chile,Home win
