home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Cameroon,Denmark,1,0,2,0,38074,"Loftus Versfeld Stadium, Pretoria",Group stage,2010-06-19,South Africa,2010,Samuel Eto'o@10,"Nicklas Bendtner@33,Dennis Rommedahl@61",0,0,2010-0215,3,1-2,1,False,Group,2010s,Loftus Versfeld Stadium,Pretoria,Denmark,Away win
Germany,Serbia,0,0,1,0,38294,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,2010-06-18,South Africa,2010,,Milan Jovanovic@38,0,0,2010-0216,1,0-1,1,False,Group,2010s,Nelson Mandela Bay Stadium,Port Elizabeth,Serbia,Away win
Slovenia,United States,2,0,2,0,45573,"Emirates Airline Park, Johannesburg",Group stage,2010-06-18,South Africa,2010,"Valter Birsa@13,Zlatan Ljubijankic@42","Landon Donovan@48,Michael Bradley@82",0,0,2010-0217,4,2-2,0,False,Group,2010s,Emirates Airline Park,Johannesburg,Draw,Draw
England,Algeria,0,0,0,0,64100,"Cape Town Stadium, Cape Town",Group stage,2010-06-18,South Africa,2010,,,0,0,2010-0218,0,0-0,0,False,Group,2010s,Cape Town Stadium,Cape Town,Draw,Draw
Argentina,Korea Republic,4,0,1,0,82174,"Soccer City, Johannesburg",Group stage,2010-06-17,South Africa,2010,"Gonzalo Higuaín@33,Gonzalo Higuaín@76,Gonzalo Higuaín@80",Lee Chung-yong@45+1,1,0,2010-0219,5,4-1,3,False,Group,2010s,Soccer City,Johannesburg,Argentina,Home win
Greece,Nigeria,2,0,1,0,31593,"Toyota Stadium, Bloemfontein",Group stage,2010-06-17,South Africa,2010,"Dimitris Salpingidis@44,Vasilis Torosidis@71",Kalu Uche@16,0,0,2010-0220,3,2-1,1,False,Group,2010s,Toyota Stadium,Bloemfontein,Greece,Home win
France,Mexico,0,0,2,0,35370,"Peter Mokaba Stadium, Polokwane",Group stage,2010-06-17,South Africa,2010,,"Javier Hernández@64,Cuauhtémoc Blanco@79",0,0,2010-0221,2,0-2,2,False,Group,2010s,Peter Mokaba Stadium,Polokwane,Mexico,Away win
Honduras,Chile,0,0,1,0,32664,"Mbombela Stadium, Nelspruit",Group stage,2010-06-16,South Africa,2010,,Jean Beausejour@34,0,0,2010-0222,1,0-1,1,False,Group,2010s,Mbombela Stadium,Nelspruit,Chile,Away win
Uruguay,Denmark,1,0,2,0,30157,"Munsu Cup Stadium, Ulsan",Group stage,2002-06-01,"Korea Republic, Japan",2002,Darío Rodríguez@47,"Jon Dahl Tomasson@45,Jon Dahl Tomasson@83",0,0,2002-0223,3,1-2,1,False,Group,2000s,Munsu Cup Stadium,Ulsan,Denmark,Away win
Spain,Switzerland,0,0,1,0,62453,"Moses Mabhida Stadium, Durban",Group stage,2010-06-16,South Africa,2010,,Gelson Fernandes@52,0,0,2010-0224,1,0-1,1,False,Group,2010s,Moses Mabhida Stadium,Durban,Switzerland,Away win
Germany,Saudi Arabia,8,0,0,0,32218,"Sapporo Dome, Sapporo",Group stage,2002-06-01,"Korea Republic, Japan",2002,"Miroslav Klose@20,Miroslav Klose@25,Michael Ballack@40,Carsten Jancker@45+1,Miroslav Klose@70,Thomas Linke@72,Oliver Bierhoff@84,Bernd Schneider@90+2",,0,0,2002-0225,8,8-0,8,False,Group,2000s,Sapporo Dome,Sapporo,Germany,Home win
South Africa,Uruguay,0,0,3,0,42658,"Loftus Versfeld Stadium, Pretoria",Group stage,2010-06-16,South Africa,2010,,"Diego Forlán@24,Álvaro Pereira@90+5,Diego Forlán@80",0,0,2010-0226,3,0-3,3,False,Group,2010s,Loftus Versfeld Stadium,Pretoria,Uruguay,Away win
France,Senegal,0,0,1,0,62561,"Seoul World Cup Stadium, Seoul",Group stage,2002-05-31,"Korea Republic, Japan",2002,,Pape Malick Diop@30,0,0,2002-0227,1,0-1,1,False,Group,2000s,Seoul World Cup Stadium,Seoul,Senegal,Away win
Brazil,France,0,0,3,0,80000,"Stade de France, Paris",Final,1998-07-12,France,1998,,"Zinédine Zidane@27,Zinédine Zidane@45,Emmanuel Petit@90",0,0,1998-0228,3,0-3,3,False,Final,1990s,Stade de France,Paris,France,Away win
New Zealand,Slovakia,1,0,1,0,23871,"Royal Bafokeng Stadium, Phokeng",Group stage,2010-06-15,South Africa,2010,Winston Reid@90+3,Róbert Vittek@50,0,0,2010-0229,2,1-1,0,False,Group,2010s,Royal Bafokeng Stadium,Phokeng,Draw,Draw
Netherlands,Croatia,1,0,2,0,44000,"Parc des Princes, Paris",Third-place match,1998-07-11,France,1998,Boudewijn Zenden@21,"Robert Prosinecki@13,Davor Šuker@35",0,0,1998-0230,3,1-2,1,False,Placement,1990s,Parc des Princes,Paris,Croatia,Away win
France,Croatia,2,0,1,0,80000,"Stade de France, Paris",Semi-finals,1998-07-08,France,1998,"Lilian Thuram@47,Lilian Thuram@70",Davor Šuker@46,0,0,1998-0231,3,2-1,1,False,Knockout,1990s,Stade de France,Paris,France,Home win
Brazil,Netherlands,1,4,1,2,60000,"Orange Vélodrome, Marseille",Semi-finals,1998-07-07,France,1998,Ronaldo@46,Patrick Kluivert@87,0,0,1998-0232,2,1-1,0,True,Knockout,1990s,Orange Vélodrome,Marseille,Brazil,Home win on penalties
Netherlands,Argentina,2,0,1,0,60000,"Orange Vélodrome, Marseille",Quarter-finals,1998-07-04,France,1998,"Patrick Kluivert@12,Dennis Bergkamp@89",Claudio López@17,0,0,1998-0233,3,2-1,1,False,Knockout,1990s,Orange Vélodrome,Marseille,Netherlands,Home win
Germany,Croatia,0,0,3,0,43300,"Matmut Stadium de Gerland, Lyon",Quarter-finals,1998-07-04,France,1998,,"Robert Jarni@45,Goran Vlaovic@80,Davor Šuker@85",0,0,1998-0234,3,0-3,3,False,Knockout,1990s,Matmut Stadium de Gerland,Lyon,Croatia,Away win
Italy,France,0,3,0,4,80000,"Stade de France, Paris",Quarter-finals,1998-07-03,France,1998,,,0,0,1998-0235,0,0-0,0,True,Knockout,1990s,Stade de France,Paris,France,Away win on penalties
Brazil,Denmark,3,0,2,0,49500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Quarter-finals,1998-07-03,France,1998,"Bebeto@10,Rivaldo@27,Rivaldo@60","Martin Jørgensen@2,Brian Laudrup@50",0,0,1998-0236,5,3-2,1,False,Knockout,1990s,Stade de la Beaujoire - Louis Fonteneau,Nantes,Brazil,Home win
Romania,Croatia,0,0,1,0,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Round of 16,1998-06-30,France,1998,,Davor Šuker@45,0,0,1998-0237,1,0-1,1,False,Knockout,1990s,Stade Jacques Chaban-Delmas,Bordeaux,Croatia,Away win
Brazil,Netherlands,0,0,3,0,68034,"Estádio Nacional de Brasília, Brasília",Third-place match,2014-07-12,Brazil,2014,,"Daley Blind@17,Georginio Wijnaldum@90+1,Robin van Persie@3",0,0,2014-0238,3,0-3,3,False,Placement,2010s,Estádio Nacional de Brasília,Brasília,Netherlands,Away win
Argentina,England,2,4,2,3,30600,"Stade Geoffroy-Guichard, Saint-Étienne",Round of 16,1998-06-30,France,1998,"Javier Zanetti@45,Gabriel Batistuta@5","Michael Owen@16,Alan Shearer@9",0,0,1998-0239,4,2-2,0,True,Knockout,1990s,Stade Geoffroy-Guichard,Saint-Étienne,Argentina,Home win on penalties
Netherlands,Argentina,0,2,0,4,63267,"Arena Corinthians, São Paulo",Semi-finals,2014-07-09,Brazil,2014,,,0,0,2014-0240,0,0-0,0,True,Knockout,2010s,Arena Corinthians,São Paulo,Argentina,Away win on penalties
Germany,Mexico,2,0,1,0,29800,"Stade de la Mosson, Montpellier",Round of 16,1998-06-29,France,1998,"Jürgen Klinsmann@75,Oliver Bierhoff@86",Luis Hernández@47,0,0,1998-0241,3,2-1,1,False,Knockout,1990s,Stade de la Mosson,Montpellier,Germany,Home win
Brazil,Germany,1,0,7,0,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Semi-finals,2014-07-08,Brazil,2014,Oscar@90,"Thomas Müller@11,Miroslav Klose@23,Toni Kroos@24,Toni Kroos@26,Sami Khedira@29,André Schürrle@69,André Schürrle@79",0,0,2014-0242,8,1-7,6,False,Knockout,2010s,Estádio Governador Magalhães Pinto,Belo Horizonte,Germany,Away win
Netherlands,FR Yugoslavia,2,0,1,0,33000,"Stadium Municipal, Toulouse",Round of 16,1998-06-29,France,1998,"Dennis Bergkamp@38,Edgar Davids@90",Slobodan Komljenovi@48,0,0,1998-0243,3,2-1,1,False,Knockout,1990s,Stadium Municipal,Toulouse,Netherlands,Home win
Argentina,Belgium,1,0,0,0,68551,"Estádio Nacional de Brasília, Brasília",Quarter-finals,2014-07-05,Brazil,2014,Gonzalo Higuaín@8,,0,0,2014-0244,1,1-0,1,False,Knockout,2010s,Estádio Nacional de Brasília,Brasília,Argentina,Home win
France,Paraguay,1,0,0,0,31800,"Stade Bollaert-Delelis, Lens",Round of 16,1998-06-28,France,1998,Laurent Blanc@114,,0,0,1998-0245,1,1-0,1,False,Knockout,1990s,Stade Bollaert-Delelis,Lens,France,Home win
Netherlands,Costa Rica,0,4,0,3,51179,"Itaipava Arena Fonte Nova, Salvador",Quarter-finals,2014-07-05,Brazil,2014,,,0,0,2014-0246,0,0-0,0,True,Knockout,2010s,Itaipava Arena Fonte Nova,Salvador,Netherlands,Home win on penalties
Nigeria,Denmark,1,0,4,0,77000,"Stade de France, Paris",Round of 16,1998-06-28,France,1998,Tijani Babangida@77,"Peter Møller@3,Brian Laudrup@12,Ebbe Sand@60,Thomas Helveg@76",0,0,1998-0247,5,1-4,3,False,Knockout,1990s,Stade de France,Paris,Denmark,Away win
France,Germany,0,0,1,0,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Quarter-finals,2014-07-04,Brazil,2014,,Mats Hummels@13,0,0,2014-0248,1,0-1,1,False,Knockout,2010s,Estadio Jornalista Mário Filho,Rio de Janeiro,Germany,Away win
Italy,Norway,1,0,0,0,55000,"Orange Vélodrome, Marseille",Round of 16,1998-06-27,France,1998,Christian Vieri@18,,0,0,1998-0249,1,1-0,1,False,Knockout,1990s,Orange Vélodrome,Marseille,Italy,Home win
Brazil,Colombia,2,0,1,0,60342,"Estádio Castelão, Fortaleza",Quarter-finals,2014-07-04,Brazil,2014,"Thiago Silva@7,David Luiz@69",James Rodríguez@80,0,0,2014-0250,3,2-1,1,False,Knockout,2010s,Estádio Castelão,Fortaleza,Brazil,Home win
Brazil,Chile,4,0,1,0,45500,"Parc des Princes, Paris",Round of 16,1998-06-27,France,1998,"César Sampaio@11,César Sampaio@26,Ronaldo@70,Ronaldo@45",Marcelo Salas@68,0,0,1998-0251,5,4-1,3,False,Knockout,1990s,Parc des Princes,Paris,Brazil,Home win
Argentina,Switzerland,1,0,0,0,63255,"Arena Corinthians, São Paulo",Round of 16,2014-07-01,Brazil,2014,Ángel Di María@118,,0,0,2014-0252,1,1-0,1,False,Knockout,2010s,Arena Corinthians,São Paulo,Argentina,Home win
Argentina,Croatia,1,0,0,0,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,1998-06-26,France,1998,Mauricio Pineda@36,,0,0,1998-0253,1,1-0,1,False,Group,1990s,Stade Jacques Chaban-Delmas,Bordeaux,Argentina,Home win
Belgium,United States,2,0,1,0,51227,"Itaipava Arena Fonte Nova, Salvador",Round of 16,2014-07-01,Brazil,2014,"Kevin De Bruyne@93,Romelu Lukaku@105",Julian Green@107,0,0,2014-0254,3,2-1,1,False,Knockout,2010s,Itaipava Arena Fonte Nova,Salvador,Belgium,Home win
Japan,Jamaica,1,0,2,0,39100,"Matmut Stadium de Gerland, Lyon",Group stage,1998-06-26,France,1998,Masashi Nakayama@74,"Theodore Whitmore@39,Theodore Whitmore@54",0,0,1998-0255,3,1-2,1,False,Group,1990s,Matmut Stadium de Gerland,Lyon,Jamaica,Away win
France,Nigeria,2,0,0,0,67882,"Estádio Nacional de Brasília, Brasília",Round of 16,2014-06-30,Brazil,2014,Paul Pogba@79,,1,0,2014-0256,2,2-0,2,False,Knockout,2010s,Estádio Nacional de Brasília,Brasília,France,Home win
Romania,Tunisia,1,0,1,0,80000,"Stade de France, Paris",Group stage,1998-06-26,France,1998,Viorel Moldovan@72,Skander Souayah@10,0,0,1998-0257,2,1-1,0,False,Group,1990s,Stade de France,Paris,Draw,Draw
Germany,Algeria,2,0,1,0,43063,"Estádio José Pinheiro Borba, Porto Alegre",Round of 16,2014-06-30,Brazil,2014,"André Schürrle@92,Mesut Özil@119",Abdelmoumene Djabou@120+1,0,0,2014-0258,3,2-1,1,False,Knockout,2010s,Estádio José Pinheiro Borba,Porto Alegre,Germany,Home win
Colombia,England,0,0,2,0,42000,"Stade Bollaert-Delelis, Lens",Group stage,1998-06-26,France,1998,,"Darren Anderton@20,David Beckham@29",0,0,1998-0259,2,0-2,2,False,Group,1990s,Stade Bollaert-Delelis,Lens,England,Away win
Netherlands,Mexico,2,0,2,0,30600,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,1998-06-25,France,1998,"Phillip Cocu@4,Ronald de Boer@18","Ricardo Peláez@75,Claudio Suárez@90",0,0,1998-0260,4,2-2,0,False,Group,1990s,Stade Geoffroy-Guichard,Saint-Étienne,Draw,Draw
Netherlands,Mexico,2,0,1,0,58817,"Estádio Castelão, Fortaleza",Round of 16,2014-06-29,Brazil,2014,"Wesley Sneijder@88,Klaas-Jan Huntelaar@90+4",Giovani dos Santos@48,0,0,2014-0261,3,2-1,1,False,Knockout,2010s,Estádio Castelão,Fortaleza,Netherlands,Home win
Belgium,Korea Republic,1,0,1,0,45500,"Parc des Princes, Paris",Group stage,1998-06-25,France,1998,Luc Nilis@7,Yoo Sang-chul@71,0,0,1998-0262,2,1-1,0,False,Group,1990s,Parc des Princes,Paris,Draw,Draw
Costa Rica,Greece,1,5,1,3,41242,"Itaipava Arena Pernambuco, Recife",Round of 16,2014-06-29,Brazil,2014,Bryan Ruiz@52,Sokratis Papastathopoulos@90+1,0,0,2014-0263,2,1-1,0,True,Knockout,2010s,Itaipava Arena Pernambuco,Recife,Costa Rica,Home win on penalties
United States,FR Yugoslavia,0,0,1,0,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,1998-06-25,France,1998,,Slobodan Komljenovi@4,0,0,1998-0264,1,0-1,1,False,Group,1990s,Stade de la Beaujoire - Louis Fonteneau,Nantes,FR Yugoslavia,Away win
Brazil,Chile,1,3,1,2,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Round of 16,2014-06-28,Brazil,2014,David Luiz@18,Alexis Sánchez@32,0,0,2014-0265,2,1-1,0,True,Knockout,2010s,Estádio Governador Magalhães Pinto,Belo Horizonte,Brazil,Home win on penalties
Germany,IR Iran,2,0,0,0,35500,"Stade de la Mosson, Montpellier",Group stage,1998-06-25,France,1998,"Oliver Bierhoff@50,Jürgen Klinsmann@58",,0,0,1998-0266,2,2-0,2,False,Group,1990s,Stade de la Mosson,Montpellier,Germany,Home win
Colombia,Uruguay,2,0,0,0,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Round of 16,2014-06-28,Brazil,2014,"James Rodríguez@29,James Rodríguez@50",,0,0,2014-0267,2,2-0,2,False,Knockout,2010s,Estadio Jornalista Mário Filho,Rio de Janeiro,Colombia,Home win
South Africa,Saudi Arabia,2,0,2,0,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,1998-06-24,France,1998,"Shaun Bartlett@18,Shaun Bartlett@90","Sami Al-Jaber@45,Yousuf Al-Thunayan@74",0,0,1998-0268,4,2-2,0,False,Group,1990s,Stade Jacques Chaban-Delmas,Bordeaux,Draw,Draw
United States,Germany,0,0,1,0,41876,"Itaipava Arena Pernambuco, Recife",Group stage,2014-06-26,Brazil,2014,,Thomas Müller@55,0,0,2014-0269,1,0-1,1,False,Group,2010s,Itaipava Arena Pernambuco,Recife,Germany,Away win
France,Denmark,2,0,1,0,39100,"Matmut Stadium de Gerland, Lyon",Group stage,1998-06-24,France,1998,"Emmanuel Petit@57,Youri Djorkaeff@12",Michael Laudrup@42,0,0,1998-0270,3,2-1,1,False,Group,1990s,Matmut Stadium de Gerland,Lyon,France,Home win
Portugal,Ghana,2,0,1,0,67540,"Estádio Nacional de Brasília, Brasília",Group stage,2014-06-26,Brazil,2014,Cristiano Ronaldo@80,Asamoah Gyan@57,1,0,2014-0271,3,2-1,1,False,Group,2010s,Estádio Nacional de Brasília,Brasília,Portugal,Home win
Spain,Bulgaria,6,0,1,0,41275,"Stade Bollaert-Delelis, Lens",Group stage,1998-06-24,France,1998,"Luis Enrique@18,Fernando Morientes@55,Fernando Morientes@81,Kiko@90,Fernando Hierro@6",Emil Kostadinov@58,1,0,1998-0272,7,6-1,5,False,Group,1990s,Stade Bollaert-Delelis,Lens,Spain,Home win
Korea Republic,Belgium,0,0,1,0,61397,"Arena Corinthians, São Paulo",Group stage,2014-06-26,Brazil,2014,,Jan Vertonghen@77,0,0,2014-0273,1,0-1,1,False,Group,2010s,Arena Corinthians,São Paulo,Belgium,Away win
Nigeria,Paraguay,1,0,3,0,33400,"Stadium Municipal, Toulouse",Group stage,1998-06-24,France,1998,Wilson Oruma@11,"Celso Ayala@1,Miguel Ángel Benítez@59,José Cardozo@86",0,0,1998-0274,4,1-3,2,False,Group,1990s,Stadium Municipal,Toulouse,Paraguay,Away win
Algeria,Russia,1,0,1,0,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,2014-06-26,Brazil,2014,Islam Slimani@60,Aleksandr Kokorin@6,0,0,2014-0275,2,1-1,0,False,Group,2010s,Estádio Joaquim Américo Guimarães,Curitiba,Draw,Draw
Italy,Austria,2,0,1,0,80000,"Stade de France, Paris",Group stage,1998-06-23,France,1998,"Christian Vieri@49,Roberto Baggio@90",Andreas Herzog@90,0,0,1998-0276,3,2-1,1,False,Group,1990s,Stade de France,Paris,Italy,Home win
Chile,Cameroon,1,0,1,0,39500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,1998-06-23,France,1998,José Luis Sierra@20,Patrick M'Boma@56,0,0,1998-0277,2,1-1,0,False,Group,1990s,Stade de la Beaujoire - Louis Fonteneau,Nantes,Draw,Draw
Brazil,Norway,1,0,2,0,57000,"Orange Vélodrome, Marseille",Group stage,1998-06-23,France,1998,Bebeto@78,"Tore André Flo@83,Kjetil Rekdal@89",0,0,1998-0278,3,1-2,1,False,Group,1990s,Orange Vélodrome,Marseille,Norway,Away win
Scotland,Morocco,0,0,3,0,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,1998-06-23,France,1998,,"Salaheddine Bassir@23,Abdeljalil Hadda@47,Salaheddine Bassir@85",0,0,1998-0279,3,0-3,3,False,Group,1990s,Stade Geoffroy-Guichard,Saint-Étienne,Morocco,Away win
Colombia,Tunisia,1,0,0,0,35500,"Stade de la Mosson, Montpellier",Group stage,1998-06-22,France,1998,Léider Preciado@83,,0,0,1998-0280,1,1-0,1,False,Group,1990s,Stade de la Mosson,Montpellier,Colombia,Home win
Romania,England,2,0,1,0,33140,"Stadium Municipal, Toulouse",Group stage,1998-06-22,France,1998,"Viorel Moldovan@47,Dan Petrescu@90",Michael Owen@83,0,0,1998-0281,3,2-1,1,False,Group,1990s,Stadium Municipal,Toulouse,Romania,Home win
Germany,FR Yugoslavia,2,0,2,0,41275,"Stade Bollaert-Delelis, Lens",Group stage,1998-06-21,France,1998,Oliver Bierhoff@80,"Predrag Mijatovi@13,Dragan Stojkovi@54",1,0,1998-0282,4,2-2,0,False,Group,1990s,Stade Bollaert-Delelis,Lens,Draw,Draw
Argentina,Jamaica,5,0,0,0,45500,"Parc des Princes, Paris",Group stage,1998-06-21,France,1998,"Ariel Ortega@32,Ariel Ortega@55,Gabriel Batistuta@72,Gabriel Batistuta@79,Gabriel Batistuta@83",,0,0,1998-0283,5,5-0,5,False,Group,1990s,Parc des Princes,Paris,Argentina,Home win
United States,IR Iran,1,0,2,0,43300,"Matmut Stadium de Gerland, Lyon",Group stage,1998-06-21,France,1998,Brian McBride@87,"Hamid Estili@40,Mehdi Mahdavikia@84",0,0,1998-0284,3,1-2,1,False,Group,1990s,Matmut Stadium de Gerland,Lyon,IR Iran,Away win
Japan,Croatia,0,0,1,0,35500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,1998-06-20,France,1998,,Davor Šuker@77,0,0,1998-0285,1,0-1,1,False,Group,1990s,Stade de la Beaujoire - Louis Fonteneau,Nantes,Croatia,Away win
Côte d'Ivoire,Portugal,0,0,0,0,37034,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,2010-06-15,South Africa,2010,,,0,0,2010-0286,0,0-0,0,False,Group,2010s,Nelson Mandela Bay Stadium,Port Elizabeth,Draw,Draw
Belgium,Mexico,2,0,2,0,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,1998-06-20,France,1998,"Marc Wilmots@43,Marc Wilmots@47","Carlos Blanco@62,Alberto García Aspe@55",0,0,1998-0287,4,2-2,0,False,Group,1990s,Stade Jacques Chaban-Delmas,Bordeaux,Draw,Draw
Netherlands,Korea Republic,5,0,0,0,55000,"Orange Vélodrome, Marseille",Group stage,1998-06-20,France,1998,"Phillip Cocu@38,Marc Overmars@42,Dennis Bergkamp@71,Pierre van Hooijdonk@80,Ronald de Boer@83",,0,0,1998-0288,5,5-0,5,False,Group,1990s,Orange Vélodrome,Marseille,Netherlands,Home win
Brazil,Korea DPR,2,0,1,0,54331,"Emirates Airline Park, Johannesburg",Group stage,2010-06-15,South Africa,2010,"Maicon Sisenando@55,Elano@72",Ji Yun-nam@89,0,0,2010-0289,3,2-1,1,False,Group,2010s,Emirates Airline Park,Johannesburg,Brazil,Home win
Netherlands,Denmark,2,0,0,0,83465,"Soccer City, Johannesburg",Group stage,2010-06-14,South Africa,2010,Dirk Kuyt@85,,1,0,2010-0290,2,2-0,2,False,Group,2010s,Soccer City,Johannesburg,Netherlands,Home win
Japan,Cameroon,1,0,0,0,30620,"Toyota Stadium, Bloemfontein",Group stage,2010-06-14,South Africa,2010,Keisuke Honda@39,,0,0,2010-0291,1,1-0,1,False,Group,2010s,Toyota Stadium,Bloemfontein,Japan,Home win
Nigeria,Bulgaria,1,0,0,0,48000,"Parc des Princes, Paris",Group stage,1998-06-19,France,1998,Victor Ikpeba@26,,0,0,1998-0292,1,1-0,1,False,Group,1990s,Parc des Princes,Paris,Nigeria,Home win
Italy,Paraguay,1,0,1,0,62869,"Cape Town Stadium, Cape Town",Group stage,2010-06-14,South Africa,2010,Daniele De Rossi@63,Antolín Alcaraz@39,0,0,2010-0293,2,1-1,0,False,Group,2010s,Cape Town Stadium,Cape Town,Draw,Draw
Spain,Paraguay,0,0,0,0,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,1998-06-19,France,1998,,,0,0,1998-0294,0,0-0,0,False,Group,1990s,Stade Geoffroy-Guichard,Saint-Étienne,Draw,Draw
Algeria,Slovenia,0,0,1,0,30325,"Peter Mokaba Stadium, Polokwane",Group stage,2010-06-13,South Africa,2010,,Robert Koren@79,0,0,2010-0295,1,0-1,1,False,Group,2010s,Peter Mokaba Stadium,Polokwane,Slovenia,Away win
South Africa,Denmark,1,0,1,0,33500,"Stadium Municipal, Toulouse",Group stage,1998-06-18,France,1998,Benni McCarthy@52,Allan Nielsen@13,0,0,1998-0296,2,1-1,0,False,Group,1990s,Stadium Municipal,Toulouse,Draw,Draw
Serbia,Ghana,0,0,1,0,38833,"Loftus Versfeld Stadium, Pretoria",Group stage,2010-06-13,South Africa,2010,,Asamoah Gyan@85,0,0,2010-0297,1,0-1,1,False,Group,2010s,Loftus Versfeld Stadium,Pretoria,Ghana,Away win
France,Saudi Arabia,4,0,0,0,80000,"Stade de France, Paris",Group stage,1998-06-18,France,1998,"Thierry Henry@36,David Trezeguet@68,Thierry Henry@77,Bixente Lizarazu@85",,0,0,1998-0298,4,4-0,4,False,Group,1990s,Stade de France,Paris,France,Home win
Germany,Australia,4,0,0,0,62660,"Moses Mabhida Stadium, Durban",Group stage,2010-06-13,South Africa,2010,"Lukas Podolski@8,Miroslav Klose@26,Thomas Müller@68,Cacau@70",,0,0,2010-0299,4,4-0,4,False,Group,2010s,Moses Mabhida Stadium,Durban,Germany,Home win
Chile,Austria,1,0,1,0,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,1998-06-17,France,1998,Marcelo Salas@70,Ivica Vasti@90,0,0,1998-0300,2,1-1,0,False,Group,1990s,Stade Geoffroy-Guichard,Saint-Étienne,Draw,Draw
Korea Republic,Greece,2,0,0,0,31513,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,2010-06-12,South Africa,2010,"Lee Jung-soo@7,Park Ji-sung@52",,0,0,2010-0301,2,2-0,2,False,Group,2010s,Nelson Mandela Bay Stadium,Port Elizabeth,Korea Republic,Home win
Italy,Cameroon,3,0,0,0,35500,"Stade de la Mosson, Montpellier",Group stage,1998-06-17,France,1998,"Luigi Di Biagio@7,Christian Vieri@75,Christian Vieri@89",,0,0,1998-0302,3,3-0,3,False,Group,1990s,Stade de la Mosson,Montpellier,Italy,Home win
Argentina,Nigeria,1,0,0,0,55686,"Emirates Airline Park, Johannesburg",Group stage,2010-06-12,South Africa,2010,Gabriel Heinze@6,,0,0,2010-0303,1,1-0,1,False,Group,2010s,Emirates Airline Park,Johannesburg,Argentina,Home win
Scotland,Norway,1,0,1,0,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,1998-06-16,France,1998,Craig Burley@66,Håvard Flo@46,0,0,1998-0304,2,1-1,0,False,Group,1990s,Stade Jacques Chaban-Delmas,Bordeaux,Draw,Draw
England,United States,1,0,1,0,38646,"Royal Bafokeng Stadium, Phokeng",Group stage,2010-06-12,South Africa,2010,Steven Gerrard@4,Clint Dempsey@40,0,0,2010-0305,2,1-1,0,False,Group,2010s,Royal Bafokeng Stadium,Phokeng,Draw,Draw
Brazil,Morocco,3,0,0,0,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,1998-06-16,France,1998,"Ronaldo@9,Rivaldo@45,Bebeto@50",,0,0,1998-0306,3,3-0,3,False,Group,1990s,Stade de la Beaujoire - Louis Fonteneau,Nantes,Brazil,Home win
South Africa,Mexico,1,0,1,0,84490,"Soccer City, Johannesburg",Group stage,2010-06-11,South Africa,2010,Siphiwe Tshabalala@55,Rafael Márquez@79,0,0,2010-0307,2,1-1,0,False,Group,2010s,Soccer City,Johannesburg,Draw,Draw
England,Tunisia,2,0,0,0,54587,"Orange Vélodrome, Marseille",Group stage,1998-06-15,France,1998,"Alan Shearer@43,Paul Scholes@89",,0,0,1998-0308,2,2-0,2,False,Group,1990s,Orange Vélodrome,Marseille,England,Home win
Uruguay,France,0,0,0,0,64100,"Cape Town Stadium, Cape Town",Group stage,2010-06-11,South Africa,2010,,,0,0,2010-0309,0,0-0,0,False,Group,2010s,Cape Town Stadium,Cape Town,Draw,Draw
Romania,Colombia,1,0,0,0,43300,"Matmut Stadium de Gerland, Lyon",Group stage,1998-06-15,France,1998,Adrian Ilie@45,,0,0,1998-0310,1,1-0,1,False,Group,1990s,Matmut Stadium de Gerland,Lyon,Romania,Home win
Italy,France,1,5,1,3,69000,"Olympiastadion Berlin, Berlin",Final,2006-07-09,Germany,2006,Marco Materazzi@19,Zinédine Zidane@7,0,0,2006-0311,2,1-1,0,True,Final,2000s,Olympiastadion Berlin,Berlin,Italy,Home win on penalties
