match_id,wc_year,match_date,stage,stage_group,host_country,team,opponent,home_away,goals_for,goals_against,goal_difference,penalties_for,penalties_against,result_final,points,attendance
2022-0030,2022,2022-12-17,Third-place match,Placement,Qatar,Croatia,Morocco,Home,2,1,1,0,0,Win,3,44137
2022-0030,2022,2022-12-17,Third-place match,Placement,Qatar,Morocco,Croatia,Away,1,2,-1,0,0,Loss,0,44137
2018-0031,2018,2018-06-22,Group stage,Group,Russia,Nigeria,Iceland,Home,2,0,2,0,0,Win,3,40904
2018-0031,2018,2018-06-22,Group stage,Group,Russia,Iceland,Nigeria,Away,0,2,-2,0,0,Loss,0,40904
2018-0032,2018,2018-06-22,Group stage,Group,Russia,Serbia,Switzerland,Home,1,2,-1,0,0,Loss,0,33167
2018-0032,2018,2018-06-22,Group stage,Group,Russia,Switzerland,Serbia,Away,2,1,1,0,0,Win,3,33167
2018-0033,2018,2018-06-21,Group stage,Group,Russia,Denmark,Australia,Home,1,1,0,0,0,Draw,1,40727
2018-0033,2018,2018-06-21,Group stage,Group,Russia,Australia,Denmark,Away,1,1,0,0,0,Draw,1,40727
2022-0034,2022,2022-12-14,Semi-finals,Knockout,Qatar,France,Morocco,Home,2,0,2,0,0,Win,3,68294
2022-0034,2022,2022-12-14,Semi-finals,Knockout,Qatar,Morocco,France,Away,0,2,-2,0,0,Loss,0,68294
2018-0035,2018,2018-06-21,Group stage,Group,Russia,France,Peru,Home,1,0,1,0,0,Win,3,32789
2018-0035,2018,2018-06-21,Group stage,Group,Russia,Peru,France,Away,0,1,-1,0,0,Loss,0,32789
2018-0036,2018,2018-06-21,Group stage,Group,Russia,Argentina,Croatia,Home,0,3,-3,0,0,Loss,0,43319
2018-0036,2018,2018-06-21,Group stage,Group,Russia,Croatia,Argentina,Away,3,0,3,0,0,Win,3,43319
2018-0037,2018,2018-06-20,Group stage,Group,Russia,Portugal,Morocco,Home,1,0,1,0,0,Win,3,78011
2018-0037,2018,2018-06-20,Group stage,Group,Russia,Morocco,Portugal,Away,0,1,-1,0,0,Loss,0,78011
2018-0038,2018,2018-06-20,Group stage,Group,Russia,Uruguay,Saudi Arabia,Home,1,0,1,0,0,Win,3,42678
2018-0038,2018,2018-06-20,Group stage,Group,Russia,Saudi Arabia,Uruguay,Away,0,1,-1,0,0,Loss,0,42678
2022-0039,2022,2022-12-13,Semi-finals,Knockout,Qatar,Argentina,Croatia,Home,3,0,3,0,0,Win,3,88966
2022-0039,2022,2022-12-13,Semi-finals,Knockout,Qatar,Croatia,Argentina,Away,0,3,-3,0,0,Loss,0,88966
2010-0040,2010,2010-06-21,Group stage,Group,South Africa,Spain,Honduras,Home,2,0,2,0,0,Win,3,54386
2010-0040,2010,2010-06-21,Group stage,Group,South Africa,Honduras,Spain,Away,0,2,-2,0,0,Loss,0,54386
2022-0041,2022,2022-12-10,Quarter-finals,Knockout,Qatar,Morocco,Portugal,Home,1,0,1,0,0,Win,3,44198
2022-0041,2022,2022-12-10,Quarter-finals,Knockout,Qatar,Portugal,Morocco,Away,0,1,-1,0,0,Loss,0,44198
2022-0042,2022,2022-12-10,Quarter-finals,Knockout,Qatar,England,France,Home,1,2,-1,0,0,Loss,0,68895
2022-0042,2022,2022-12-10,Quarter-finals,Knockout,Qatar,France,England,Away,2,1,1,0,0,Win,3,68895
2022-0043,2022,2022-12-09,Quarter-finals,Knockout,Qatar,Croatia,Brazil,Home,1,1,0,4,2,Win on penalties,3,43893
2022-0043,2022,2022-12-09,Quarter-finals,Knockout,Qatar,Brazil,Croatia,Away,1,1,0,2,4,Loss on penalties,0,43893
2022-0044,2022,2022-12-09,Quarter-finals,Knockout,Qatar,Netherlands,Argentina,Home,2,2,0,3,4,Loss on penalties,0,88235
2022-0044,2022,2022-12-09,Quarter-finals,Knockout,Qatar,Argentina,Netherlands,Away,2,2,0,4,3,Win on penalties,3,88235
2022-0045,2022,2022-12-06,Round of 16,Knockout,Qatar,Morocco,Spain,Home,0,0,0,3,0,Win on penalties,3,44667
2022-0045,2022,2022-12-06,Round of 16,Knockout,Qatar,Spain,Morocco,Away,0,0,0,0,3,Loss on penalties,0,44667
2022-0046,2022,2022-12-06,Round of 16,Knockout,Qatar,Portugal,Switzerland,Home,6,1,5,0,0,Win,3,83720
2022-0046,2022,2022-12-06,Round of 16,Knockout,Qatar,Switzerland,Portugal,Away,1,6,-5,0,0,Loss,0,83720
2022-0047,2022,2022-12-05,Round of 16,Knockout,Qatar,Japan,Croatia,Home,1,1,0,1,3,Loss on penalties,0,42523
2022-0047,2022,2022-12-05,Round of 16,Knockout,Qatar,Croatia,Japan,Away,1,1,0,3,1,Win on penalties,3,42523
2022-0048,2022,2022-12-05,Round of 16,Knockout,Qatar,Brazil,Korea Republic,Home,4,1,3,0,0,Win,3,43847
2022-0048,2022,2022-12-05,Round of 16,Knockout,Qatar,Korea Republic,Brazil,Away,1,4,-3,0,0,Loss,0,43847
2022-0049,2022,2022-12-04,Round of 16,Knockout,Qatar,France,Poland,Home,3,1,2,0,0,Win,3,40989
2022-0049,2022,2022-12-04,Round of 16,Knockout,Qatar,Poland,France,Away,1,3,-2,0,0,Loss,0,40989
2022-0050,2022,2022-12-04,Round of 16,Knockout,Qatar,England,Senegal,Home,3,0,3,0,0,Win,3,65985
2022-0050,2022,2022-12-04,Round of 16,Knockout,Qatar,Senegal,England,Away,0,3,-3,0,0,Loss,0,65985
2022-0051,2022,2022-12-03,Round of 16,Knockout,Qatar,Netherlands,United States,Home,3,1,2,0,0,Win,3,44846
2022-0051,2022,2022-12-03,Round of 16,Knockout,Qatar,United States,Netherlands,Away,1,3,-2,0,0,Loss,0,44846
2022-0052,2022,2022-12-03,Round of 16,Knockout,Qatar,Argentina,Australia,Home,2,1,1,0,0,Win,3,45032
2022-0052,2022,2022-12-03,Round of 16,Knockout,Qatar,Australia,Argentina,Away,1,2,-1,0,0,Loss,0,45032
2022-0053,2022,2022-12-02,Group stage,Group,Qatar,Korea Republic,Portugal,Home,2,1,1,0,0,Win,3,44097
2022-0053,2022,2022-12-02,Group stage,Group,Qatar,Portugal,Korea Republic,Away,1,2,-1,0,0,Loss,0,44097
2022-0054,2022,2022-12-02,Group stage,Group,Qatar,Ghana,Uruguay,Home,0,2,-2,0,0,Loss,0,43443
2022-0054,2022,2022-12-02,Group stage,Group,Qatar,Uruguay,Ghana,Away,2,0,2,0,0,Win,3,43443
2022-0055,2022,2022-12-02,Group stage,Group,Qatar,Cameroon,Brazil,Home,1,0,1,0,0,Win,3,85986
2022-0055,2022,2022-12-02,Group stage,Group,Qatar,Brazil,Cameroon,Away,0,1,-1,0,0,Loss,0,85986
2022-0056,2022,2022-12-02,Group stage,Group,Qatar,Serbia,Switzerland,Home,2,3,-1,0,0,Loss,0,41378
2022-0056,2022,2022-12-02,Group stage,Group,Qatar,Switzerland,Serbia,Away,3,2,1,0,0,Win,3,41378
2022-0057,2022,2022-12-01,Group stage,Group,Qatar,Canada,Morocco,Home,1,2,-1,0,0,Loss,0,43102
2022-0057,2022,2022-12-01,Group stage,Group,Qatar,Morocco,Canada,Away,2,1,1,0,0,Win,3,43102
2022-0058,2022,2022-12-01,Group stage,Group,Qatar,Croatia,Belgium,Home,0,0,0,0,0,Draw,1,43984
2022-0058,2022,2022-12-01,Group stage,Group,Qatar,Belgium,Croatia,Away,0,0,0,0,0,Draw,1,43984
2022-0059,2022,2022-12-01,Group stage,Group,Qatar,Costa Rica,Germany,Home,2,4,-2,0,0,Loss,0,67054
2022-0059,2022,2022-12-01,Group stage,Group,Qatar,Germany,Costa Rica,Away,4,2,2,0,0,Win,3,67054
2022-0060,2022,2022-12-01,Group stage,Group,Qatar,Japan,Spain,Home,2,1,1,0,0,Win,3,44851
2022-0060,2022,2022-12-01,Group stage,Group,Qatar,Spain,Japan,Away,1,2,-1,0,0,Loss,0,44851
2022-0061,2022,2022-11-30,Group stage,Group,Qatar,Australia,Denmark,Home,1,0,1,0,0,Win,3,41232
2022-0061,2022,2022-11-30,Group stage,Group,Qatar,Denmark,Australia,Away,0,1,-1,0,0,Loss,0,41232
2022-0062,2022,2022-11-30,Group stage,Group,Qatar,Tunisia,France,Home,1,0,1,0,0,Win,3,43627
2022-0062,2022,2022-11-30,Group stage,Group,Qatar,France,Tunisia,Away,0,1,-1,0,0,Loss,0,43627
2010-0063,2010,2010-06-20,Group stage,Group,South Africa,Slovakia,Paraguay,Home,0,2,-2,0,0,Loss,0,26643
2010-0063,2010,2010-06-20,Group stage,Group,South Africa,Paraguay,Slovakia,Away,2,0,2,0,0,Win,3,26643
2022-0064,2022,2022-11-30,Group stage,Group,Qatar,Saudi Arabia,Mexico,Home,1,2,-1,0,0,Loss,0,84985
2022-0064,2022,2022-11-30,Group stage,Group,Qatar,Mexico,Saudi Arabia,Away,2,1,1,0,0,Win,3,84985
2022-0065,2022,2022-11-30,Group stage,Group,Qatar,Poland,Argentina,Home,0,2,-2,0,0,Loss,0,44089
2022-0065,2022,2022-11-30,Group stage,Group,Qatar,Argentina,Poland,Away,2,0,2,0,0,Win,3,44089
2022-0066,2022,2022-11-29,Group stage,Group,Qatar,Ecuador,Senegal,Home,1,2,-1,0,0,Loss,0,44569
2022-0066,2022,2022-11-29,Group stage,Group,Qatar,Senegal,Ecuador,Away,2,1,1,0,0,Win,3,44569
2022-0067,2022,2022-11-29,Group stage,Group,Qatar,Netherlands,Qatar,Home,2,0,2,0,0,Win,3,66784
2022-0067,2022,2022-11-29,Group stage,Group,Qatar,Qatar,Netherlands,Away,0,2,-2,0,0,Loss,0,66784
2022-0068,2022,2022-11-29,Group stage,Group,Qatar,IR Iran,United States,Home,0,1,-1,0,0,Loss,0,42127
2022-0068,2022,2022-11-29,Group stage,Group,Qatar,United States,IR Iran,Away,1,0,1,0,0,Win,3,42127
2022-0069,2022,2022-11-29,Group stage,Group,Qatar,Wales,England,Home,0,3,-3,0,0,Loss,0,44297
2022-0069,2022,2022-11-29,Group stage,Group,Qatar,England,Wales,Away,3,0,3,0,0,Win,3,44297
2022-0070,2022,2022-11-28,Group stage,Group,Qatar,Cameroon,Serbia,Home,3,3,0,0,0,Draw,1,39789
2022-0070,2022,2022-11-28,Group stage,Group,Qatar,Serbia,Cameroon,Away,3,3,0,0,0,Draw,1,39789
2022-0071,2022,2022-11-28,Group stage,Group,Qatar,Korea Republic,Ghana,Home,2,3,-1,0,0,Loss,0,43983
2022-0071,2022,2022-11-28,Group stage,Group,Qatar,Ghana,Korea Republic,Away,3,2,1,0,0,Win,3,43983
2022-0072,2022,2022-11-28,Group stage,Group,Qatar,Brazil,Switzerland,Home,1,0,1,0,0,Win,3,43649
2022-0072,2022,2022-11-28,Group stage,Group,Qatar,Switzerland,Brazil,Away,0,1,-1,0,0,Loss,0,43649
2022-0073,2022,2022-11-28,Group stage,Group,Qatar,Portugal,Uruguay,Home,2,0,2,0,0,Win,3,88668
2022-0073,2022,2022-11-28,Group stage,Group,Qatar,Uruguay,Portugal,Away,0,2,-2,0,0,Loss,0,88668
2022-0074,2022,2022-11-27,Group stage,Group,Qatar,Japan,Costa Rica,Home,0,1,-1,0,0,Loss,0,41479
2022-0074,2022,2022-11-27,Group stage,Group,Qatar,Costa Rica,Japan,Away,1,0,1,0,0,Win,3,41479
2022-0075,2022,2022-11-27,Group stage,Group,Qatar,Belgium,Morocco,Home,0,2,-2,0,0,Loss,0,43738
2022-0075,2022,2022-11-27,Group stage,Group,Qatar,Morocco,Belgium,Away,2,0,2,0,0,Win,3,43738
2022-0076,2022,2022-11-27,Group stage,Group,Qatar,Croatia,Canada,Home,4,1,3,0,0,Win,3,44374
2022-0076,2022,2022-11-27,Group stage,Group,Qatar,Canada,Croatia,Away,1,4,-3,0,0,Loss,0,44374
2022-0077,2022,2022-11-27,Group stage,Group,Qatar,Spain,Germany,Home,1,1,0,0,0,Draw,1,68895
2022-0077,2022,2022-11-27,Group stage,Group,Qatar,Germany,Spain,Away,1,1,0,0,0,Draw,1,68895
2022-0078,2022,2022-11-26,Group stage,Group,Qatar,Tunisia,Australia,Home,0,1,-1,0,0,Loss,0,41823
2022-0078,2022,2022-11-26,Group stage,Group,Qatar,Australia,Tunisia,Away,1,0,1,0,0,Win,3,41823
2022-0079,2022,2022-11-26,Group stage,Group,Qatar,Poland,Saudi Arabia,Home,2,0,2,0,0,Win,3,44259
2022-0079,2022,2022-11-26,Group stage,Group,Qatar,Saudi Arabia,Poland,Away,0,2,-2,0,0,Loss,0,44259
2022-0080,2022,2022-11-26,Group stage,Group,Qatar,France,Denmark,Home,2,1,1,0,0,Win,3,42860
2022-0080,2022,2022-11-26,Group stage,Group,Qatar,Denmark,France,Away,1,2,-1,0,0,Loss,0,42860
2022-0081,2022,2022-11-26,Group stage,Group,Qatar,Argentina,Mexico,Home,2,0,2,0,0,Win,3,88966
2022-0081,2022,2022-11-26,Group stage,Group,Qatar,Mexico,Argentina,Away,0,2,-2,0,0,Loss,0,88966
2022-0082,2022,2022-11-25,Group stage,Group,Qatar,Wales,IR Iran,Home,0,2,-2,0,0,Loss,0,40875
2022-0082,2022,2022-11-25,Group stage,Group,Qatar,IR Iran,Wales,Away,2,0,2,0,0,Win,3,40875
2022-0083,2022,2022-11-25,Group stage,Group,Qatar,Qatar,Senegal,Home,1,3,-2,0,0,Loss,0,41797
2022-0083,2022,2022-11-25,Group stage,Group,Qatar,Senegal,Qatar,Away,3,1,2,0,0,Win,3,41797
2022-0084,2022,2022-11-25,Group stage,Group,Qatar,Netherlands,Ecuador,Home,1,1,0,0,0,Draw,1,44833
2022-0084,2022,2022-11-25,Group stage,Group,Qatar,Ecuador,Netherlands,Away,1,1,0,0,0,Draw,1,44833
2022-0085,2022,2022-11-25,Group stage,Group,Qatar,England,United States,Home,0,0,0,0,0,Draw,1,68463
2022-0085,2022,2022-11-25,Group stage,Group,Qatar,United States,England,Away,0,0,0,0,0,Draw,1,68463
2022-0086,2022,2022-11-24,Group stage,Group,Qatar,Switzerland,Cameroon,Home,1,0,1,0,0,Win,3,39089
2022-0086,2022,2022-11-24,Group stage,Group,Qatar,Cameroon,Switzerland,Away,0,1,-1,0,0,Loss,0,39089
2022-0087,2022,2022-11-24,Group stage,Group,Qatar,Uruguay,Korea Republic,Home,0,0,0,0,0,Draw,1,41663
2022-0087,2022,2022-11-24,Group stage,Group,Qatar,Korea Republic,Uruguay,Away,0,0,0,0,0,Draw,1,41663
2022-0088,2022,2022-11-24,Group stage,Group,Qatar,Portugal,Ghana,Home,3,2,1,0,0,Win,3,42662
2022-0088,2022,2022-11-24,Group stage,Group,Qatar,Ghana,Portugal,Away,2,3,-1,0,0,Loss,0,42662
2022-0089,2022,2022-11-24,Group stage,Group,Qatar,Brazil,Serbia,Home,2,0,2,0,0,Win,3,88103
2022-0089,2022,2022-11-24,Group stage,Group,Qatar,Serbia,Brazil,Away,0,2,-2,0,0,Loss,0,88103
2022-0090,2022,2022-11-23,Group stage,Group,Qatar,Morocco,Croatia,Home,0,0,0,0,0,Draw,1,59407
2022-0090,2022,2022-11-23,Group stage,Group,Qatar,Croatia,Morocco,Away,0,0,0,0,0,Draw,1,59407
2022-0091,2022,2022-11-23,Group stage,Group,Qatar,Germany,Japan,Home,1,2,-1,0,0,Loss,0,42608
2022-0091,2022,2022-11-23,Group stage,Group,Qatar,Japan,Germany,Away,2,1,1,0,0,Win,3,42608
2010-0092,2010,2010-06-20,Group stage,Group,South Africa,Italy,New Zealand,Home,1,1,0,0,0,Draw,1,38229
2010-0092,2010,2010-06-20,Group stage,Group,South Africa,New Zealand,Italy,Away,1,1,0,0,0,Draw,1,38229
2022-0093,2022,2022-11-23,Group stage,Group,Qatar,Spain,Costa Rica,Home,7,0,7,0,0,Win,3,40013
2022-0093,2022,2022-11-23,Group stage,Group,Qatar,Costa Rica,Spain,Away,0,7,-7,0,0,Loss,0,40013
2022-0094,2022,2022-11-23,Group stage,Group,Qatar,Belgium,Canada,Home,1,0,1,0,0,Win,3,40432
2022-0094,2022,2022-11-23,Group stage,Group,Qatar,Canada,Belgium,Away,0,1,-1,0,0,Loss,0,40432
2022-0095,2022,2022-11-22,Group stage,Group,Qatar,Argentina,Saudi Arabia,Home,1,2,-1,0,0,Loss,0,88012
2022-0095,2022,2022-11-22,Group stage,Group,Qatar,Saudi Arabia,Argentina,Away,2,1,1,0,0,Win,3,88012
2022-0096,2022,2022-11-22,Group stage,Group,Qatar,Denmark,Tunisia,Home,0,0,0,0,0,Draw,1,42925
2022-0096,2022,2022-11-22,Group stage,Group,Qatar,Tunisia,Denmark,Away,0,0,0,0,0,Draw,1,42925
2022-0097,2022,2022-11-22,Group stage,Group,Qatar,Mexico,Poland,Home,0,0,0,0,0,Draw,1,39369
2022-0097,2022,2022-11-22,Group stage,Group,Qatar,Poland,Mexico,Away,0,0,0,0,0,Draw,1,39369
2022-0098,2022,2022-11-22,Group stage,Group,Qatar,France,Australia,Home,4,1,3,0,0,Win,3,40875
2022-0098,2022,2022-11-22,Group stage,Group,Qatar,Australia,France,Away,1,4,-3,0,0,Loss,0,40875
2022-0099,2022,2022-11-21,Group stage,Group,Qatar,England,IR Iran,Home,6,2,4,0,0,Win,3,45334
2022-0099,2022,2022-11-21,Group stage,Group,Qatar,IR Iran,England,Away,2,6,-4,0,0,Loss,0,45334
2022-0100,2022,2022-11-21,Group stage,Group,Qatar,Senegal,Netherlands,Home,0,2,-2,0,0,Loss,0,41721
2022-0100,2022,2022-11-21,Group stage,Group,Qatar,Netherlands,Senegal,Away,2,0,2,0,0,Win,3,41721
2022-0101,2022,2022-11-21,Group stage,Group,Qatar,United States,Wales,Home,1,1,0,0,0,Draw,1,43418
2022-0101,2022,2022-11-21,Group stage,Group,Qatar,Wales,United States,Away,1,1,0,0,0,Draw,1,43418
2022-0102,2022,2022-11-20,Group stage,Group,Qatar,Qatar,Ecuador,Home,0,2,-2,0,0,Loss,0,67372
2022-0102,2022,2022-11-20,Group stage,Group,Qatar,Ecuador,Qatar,Away,2,0,2,0,0,Win,3,67372
2018-0103,2018,2018-07-15,Final,Final,Russia,France,Croatia,Home,4,2,2,0,0,Win,3,78011
2018-0103,2018,2018-07-15,Final,Final,Russia,Croatia,France,Away,2,4,-2,0,0,Loss,0,78011
2018-0104,2018,2018-07-14,Third-place match,Placement,Russia,Belgium,England,Home,2,0,2,0,0,Win,3,64406
2018-0104,2018,2018-07-14,Third-place match,Placement,Russia,England,Belgium,Away,0,2,-2,0,0,Loss,0,64406
2018-0105,2018,2018-07-11,Semi-finals,Knockout,Russia,Croatia,England,Home,2,1,1,0,0,Win,3,78011
2018-0105,2018,2018-07-11,Semi-finals,Knockout,Russia,England,Croatia,Away,1,2,-1,0,0,Loss,0,78011
2018-0106,2018,2018-07-10,Semi-finals,Knockout,Russia,France,Belgium,Home,1,0,1,0,0,Win,3,64286
2018-0106,2018,2018-07-10,Semi-finals,Knockout,Russia,Belgium,France,Away,0,1,-1,0,0,Loss,0,64286
2018-0107,2018,2018-07-07,Quarter-finals,Knockout,Russia,Sweden,England,Home,0,2,-2,0,0,Loss,0,39991
2018-0107,2018,2018-07-07,Quarter-finals,Knockout,Russia,England,Sweden,Away,2,0,2,0,0,Win,3,39991
2018-0108,2018,2018-07-07,Quarter-finals,Knockout,Russia,Russia,Croatia,Home,2,2,0,3,4,Loss on penalties,0,44287
2018-0108,2018,2018-07-07,Quarter-finals,Knockout,Russia,Croatia,Russia,Away,2,2,0,4,3,Win on penalties,3,44287
2018-0109,2018,2018-07-06,Quarter-finals,Knockout,Russia,Uruguay,France,Home,0,2,-2,0,0,Loss,0,43319
2018-0109,2018,2018-07-06,Quarter-finals,Knockout,Russia,France,Uruguay,Away,2,0,2,0,0,Win,3,43319
2018-0110,2018,2018-07-06,Quarter-finals,Knockout,Russia,Brazil,Belgium,Home,1,2,-1,0,0,Loss,0,42873
2018-0110,2018,2018-07-06,Quarter-finals,Knockout,Russia,Belgium,Brazil,Away,2,1,1,0,0,Win,3,42873
2018-0111,2018,2018-07-03,Round of 16,Knockout,Russia,Sweden,Switzerland,Home,1,0,1,0,0,Win,3,64042
2018-0111,2018,2018-07-03,Round of 16,Knockout,Russia,Switzerland,Sweden,Away,0,1,-1,0,0,Loss,0,64042
2018-0112,2018,2018-07-03,Round of 16,Knockout,Russia,Colombia,England,Home,1,1,0,3,4,Loss on penalties,0,44190
2018-0112,2018,2018-07-03,Round of 16,Knockout,Russia,England,Colombia,Away,1,1,0,4,3,Win on penalties,3,44190
2018-0113,2018,2018-07-02,Round of 16,Knockout,Russia,Brazil,Mexico,Home,2,0,2,0,0,Win,3,41970
